,months,id,Consumption
0,0,AC036D,90.3888771095707
1,0,AC040D,156.87436298800012
2,0,AC050D,914.1753364533048
3,0,AC056D,1026.3266238964675
4,0,AC063R,404.94738705487447
5,0,AC075R,763.9127573675502
6,0,AC090R,163.88020652499904
7,0,AC100R,1133.4238066666667
8,0,AC125R,484.24455707732375
9,0,AC140R,275.5905310500006
10,0,XA018D,0.0
11,0,XA025D,0.0
12,0,XA028D,35.35205426605995
13,0,XA030D,115.8121272438665
14,0,XA036D,177.9559351896326
15,0,XA040D,307.63755756427275
16,0,XA050D,205.55896789598012
17,0,XA056D,500.3657924958228
18,0,XA063R,354.3769907514852
19,0,XA070D,441.4587208044207
20,0,XA075R,1328.304814071174
21,0,XA080D,454.9469910183689
22,0,XA090D,166.3361458545917
23,0,XA095D,0.0
24,0,XA100D,0.0
25,0,XA100R,856.0004191666652
26,0,XA110D,0.0
27,0,XA125D,518.5582730234362
28,0,XA140D,0.0
29,0,XR100D,171.08484697888906
30,0,XR110D,91.85947065146057
31,0,XR115D,0.0
32,0,XR125D,44.01481448437501
33,0,XR140D,0.0
34,0,XR150D,91.39173075375008
35,1,AC036D,70.94026259308802
36,1,AC040D,137.68876502639995
37,1,AC050D,711.2856946607593
38,1,AC056D,259.9079616891518
39,1,AC063R,118.25098831524986
40,1,AC075R,519.0241022649067
41,1,AC090R,138.96615162499958
42,1,AC100R,535.5766675000007
43,1,AC125R,120.89573197916636
44,1,AC140R,156.28802280000005
45,1,XA018D,0.0
46,1,XA025D,3.117849017570002
47,1,XA028D,78.00784443088119
48,1,XA030D,45.11026724595998
49,1,XA036D,38.34028999495402
50,1,XA040D,181.01154585787293
51,1,XA050D,148.3462119002607
52,1,XA056D,733.2984357485959
53,1,XA063R,460.8492815872783
54,1,XA070D,348.11021889552114
55,1,XA075R,846.7975067153586
56,1,XA080D,270.71186152453345
57,1,XA090D,23.80441794434197
58,1,XA095D,0.0
59,1,XA100D,871.2250349794423
60,1,XA100R,1017.9306812499997
61,1,XA110D,39.82431013536257
62,1,XA125D,1270.442045439111
63,1,XA140D,0.0
64,1,XR100D,0.0
65,1,XR110D,0.0
66,1,XR115D,0.0
67,1,XR125D,184.6450688454301
68,1,XR140D,0.0
69,1,XR150D,53.290863672083304
70,2,AC036D,362.17692927462735
71,2,AC040D,115.91413179054537
72,2,AC050D,574.3657461677888
73,2,AC056D,454.6785210269282
74,2,AC063R,893.3867291454576
75,2,AC075R,715.0340234577362
76,2,AC090R,71.04067140625001
77,2,AC100R,352.6355874999988
78,2,AC125R,79.27774804687486
79,2,AC140R,25.18259240000002
80,2,XA018D,0.0
81,2,XA025D,0.0
82,2,XA028D,74.43332414107333
83,2,XA030D,30.512948298279948
84,2,XA036D,122.83979241912607
85,2,XA040D,201.158478287768
86,2,XA050D,238.66501610252715
87,2,XA056D,518.6322837218792
88,2,XA063R,102.31761133436115
89,2,XA070D,527.6246747587713
90,2,XA075R,1051.1947785819832
91,2,XA080D,423.6005155480575
92,2,XA090D,350.45624120076315
93,2,XA095D,0.0
94,2,XA100D,420.06564941953866
95,2,XA100R,1110.5750162500037
96,2,XA110D,7.994994509950013
97,2,XA125D,1033.636979871779
98,2,XA140D,0.0
99,2,XR100D,0.0
100,2,XR110D,0.0
101,2,XR115D,0.0
102,2,XR125D,145.33358338783574
103,2,XR140D,0.0
104,2,XR150D,93.76812651208314
105,3,AC036D,118.56173322537613
106,3,AC040D,5.139768698400001
107,3,AC050D,638.0459656929157
108,3,AC056D,822.8673922862332
109,3,AC063R,877.2658901278998
110,3,AC075R,810.1854532552089
111,3,AC090R,730.741095991668
112,3,AC100R,471.06117967391486
113,3,AC125R,507.44896179687424
114,3,AC140R,1.1684659000000006
115,3,XA018D,0.0
116,3,XA025D,3.2133723085240047
117,3,XA028D,52.55583920787201
118,3,XA030D,0.0
119,3,XA036D,94.03805034514784
120,3,XA040D,308.9038682627132
121,3,XA050D,238.7243941640453
122,3,XA056D,569.4960662875734
123,3,XA063R,340.07675625846036
124,3,XA070D,542.8674133958483
125,3,XA075R,563.1469072395837
126,3,XA080D,696.2301053912726
127,3,XA090D,246.830405489304
128,3,XA095D,0.0
129,3,XA100D,557.9035150075755
130,3,XA100R,1114.785604040407
131,3,XA110D,310.3912786554301
132,3,XA125D,799.3944016839151
133,3,XA140D,0.0
134,3,XR100D,0.0
135,3,XR110D,0.0
136,3,XR115D,0.0
137,3,XR125D,171.2313943353472
138,3,XR140D,42.82862241980004
139,3,XR150D,52.54862753583339
140,4,AC036D,434.5241325427562
141,4,AC040D,351.14156887600035
142,4,AC050D,132.03631283579548
143,4,AC056D,259.97305380211156
144,4,AC063R,339.5642733014592
145,4,AC075R,1459.672318820237
146,4,AC090R,9.049652849999996
147,4,AC100R,435.4995458333319
148,4,AC125R,716.6575063628434
149,4,AC140R,369.64757655
150,4,XA018D,0.0
151,4,XA025D,1.3943262467260014
152,4,XA028D,86.6567742609008
153,4,XA030D,0.0
154,4,XA036D,58.44703611032527
155,4,XA040D,84.45013652231876
156,4,XA050D,64.16361597444747
157,4,XA056D,289.37554218905836
158,4,XA063R,253.86386457658332
159,4,XA070D,284.11902753308397
160,4,XA075R,1234.1710738091429
161,4,XA080D,451.2625910335575
162,4,XA090D,19.334325690050022
163,4,XA095D,0.0
164,4,XA100D,121.47658113500007
165,4,XA100R,1397.9706468560491
166,4,XA110D,133.86621806901732
167,4,XA125D,506.705756537668
168,4,XA140D,0.0
169,4,XR100D,0.0
170,4,XR110D,0.0
171,4,XR115D,0.0
172,4,XR125D,16.65150020519651
173,4,XR140D,49.41124831299987
174,4,XR150D,118.91828969416679
175,5,AC036D,78.23844654180765
176,5,AC040D,32.39721246533329
177,5,AC050D,308.05690540916765
178,5,AC056D,192.97173455548744
179,5,AC063R,278.47488056937544
180,5,AC075R,1110.5001368040896
181,5,AC090R,60.64997216249997
182,5,AC100R,201.03230583333283
183,5,AC125R,503.3029906160272
184,5,AC140R,0.0
185,5,XA018D,0.0
186,5,XA025D,0.0
187,5,XA028D,112.2221170453783
188,5,XA030D,21.658265712570657
189,5,XA036D,98.1696609930308
190,5,XA040D,183.43678731100638
191,5,XA050D,349.0732068290241
192,5,XA056D,314.44939887876006
193,5,XA063R,470.59536486695913
194,5,XA070D,532.0382633940709
195,5,XA075R,764.126933559266
196,5,XA080D,161.5997953437195
197,5,XA090D,175.16585515088292
198,5,XA095D,0.0
199,5,XA100D,74.2892566915335
200,5,XA100R,794.4056253976587
201,5,XA110D,26.647281472505583
202,5,XA125D,662.5749080483581
